# ASASSN-15lh-SALT-new-mjd57209.99.photflux.dat writespec.pro: Thu Jul  9 12:59:17 2015
# flux matched to 57203 spectrum
#
       3510.4361   2.2218481e-15
       3510.6843   2.2656522e-15
       3510.9326   2.2048494e-15
       3511.1809   2.3687059e-15
       3511.4291   2.4181313e-15
       3511.6774   2.2202237e-15
       3511.9256   2.0727994e-15
       3512.1739   2.0975268e-15
       3512.4222   2.2218036e-15
       3512.6704   2.2076776e-15
       3512.9187   2.2106630e-15
       3513.1670   2.2111606e-15
       3513.4152   2.1270630e-15
       3513.6635   2.1315473e-15
       3513.9118   2.1313386e-15
       3514.1600   2.0935873e-15
       3514.4083   2.0535207e-15
       3514.6566   2.1663587e-15
       3514.9048   2.2448038e-15
       3515.1531   2.1931248e-15
       3515.4014   2.0786305e-15
       3515.6496   2.1880773e-15
       3515.8979   2.2345686e-15
       3516.1461   2.1485260e-15
       3516.3944   2.1694284e-15
       3516.6427   2.2806030e-15
       3516.8909   2.3812346e-15
       3517.1392   2.3500109e-15
       3517.3875   2.2850094e-15
       3517.6357   2.3770568e-15
       3517.8840   2.4547028e-15
       3518.1323   2.3795999e-15
       3518.3805   2.3200558e-15
       3518.6288   2.3487429e-15
       3518.8771   2.3498808e-15
       3519.1253   2.2812667e-15
       3519.3736   2.2618692e-15
       3519.6218   2.2464509e-15
       3519.8701   2.1581414e-15
       3520.1184   2.1824298e-15
       3520.3666   2.2741027e-15
       3520.6149   2.2004056e-15
       3520.8632   2.2438806e-15
       3521.1114   2.3045471e-15
       3521.3597   2.2543210e-15
       3521.6080   2.2229430e-15
       3521.8562   2.2320299e-15
       3522.1045   2.2339183e-15
       3522.3528   2.2333800e-15
       3522.6010   2.3048219e-15
       3522.8493   2.3997333e-15
       3523.0975   2.3521426e-15
       3523.3458   2.2026873e-15
       3523.5941   2.1647125e-15
       3523.8423   2.2826083e-15
       3524.0906   2.2621694e-15
       3524.3389   2.2002526e-15
       3524.5871   2.1974616e-15
       3524.8354   2.2293609e-15
       3525.0837   2.1540899e-15
       3525.3319   2.1420061e-15
       3525.5802   2.3834485e-15
       3525.8285   2.3622889e-15
       3526.0767   2.3281777e-15
       3526.3250   2.2273462e-15
       3526.5732   2.1222367e-15
       3526.8215   2.0695989e-15
       3527.0698   2.1014596e-15
       3527.3180   2.1018919e-15
       3527.5663   2.2083141e-15
       3527.8146   2.2809837e-15
       3528.0628   2.2034685e-15
       3528.3111   2.2125214e-15
       3528.5594   2.2910054e-15
       3528.8076   2.2279458e-15
       3529.0559   2.2182896e-15
       3529.3042   2.2745346e-15
       3529.5524   2.3504514e-15
       3529.8007   2.3462248e-15
       3530.0490   2.2229214e-15
       3530.2972   2.1684636e-15
       3530.5455   2.1202235e-15
       3530.7937   2.1514236e-15
       3531.0420   2.3304116e-15
       3531.2903   2.3238888e-15
       3531.5385   2.2306801e-15
       3531.7868   2.2379699e-15
       3532.0351   2.2747268e-15
       3532.2833   2.1460767e-15
       3532.5316   2.1227055e-15
       3532.7799   2.1320535e-15
       3533.0281   2.2680732e-15
       3533.2764   2.2918231e-15
       3533.5247   2.2101751e-15
       3533.7729   2.1732311e-15
       3534.0212   2.2169960e-15
       3534.2694   2.2801751e-15
       3534.5177   2.2218618e-15
       3534.7660   2.1308131e-15
       3535.0142   2.1959429e-15
       3535.2625   2.3300847e-15
       3535.5108   2.3465947e-15
       3535.7590   2.3664137e-15
       3536.0073   2.3232240e-15
       3536.2556   2.1921615e-15
       3536.5038   2.1990996e-15
       3536.7521   2.1728286e-15
       3537.0004   2.1507946e-15
       3537.2486   2.1826541e-15
       3537.4969   2.1583483e-15
       3537.7451   2.1078801e-15
       3537.9934   2.1855055e-15
       3538.2417   2.1719346e-15
       3538.4899   2.1949958e-15
       3538.7382   2.2200974e-15
       3538.9865   2.2296379e-15
       3539.2347   2.1493027e-15
       3539.4830   2.1242839e-15
       3539.7313   2.1961895e-15
       3539.9795   2.0879524e-15
       3540.2278   2.1188403e-15
       3540.4761   2.2581381e-15
       3540.7243   2.2447172e-15
       3540.9726   2.2370676e-15
       3541.2208   2.2066497e-15
       3541.4691   2.1747812e-15
       3541.7174   2.2670294e-15
       3541.9656   2.2516730e-15
       3542.2139   2.1755218e-15
       3542.4622   2.1165705e-15
       3542.7104   2.0956939e-15
       3542.9587   2.2481622e-15
       3543.2070   2.2390582e-15
       3543.4552   2.1644234e-15
       3543.7035   2.1496370e-15
       3543.9518   2.2088742e-15
       3544.2000   2.3570577e-15
       3544.4483   2.3477639e-15
       3544.6965   2.2824464e-15
       3544.9448   2.1840553e-15
       3545.1931   2.1361574e-15
       3545.4413   2.1937144e-15
       3545.6896   2.1770102e-15
       3545.9379   2.1260200e-15
       3546.1861   2.1054352e-15
       3546.4344   2.1701469e-15
       3546.6827   2.2081836e-15
       3546.9309   2.1859548e-15
       3547.1792   2.1738780e-15
       3547.4275   2.2253536e-15
       3547.6757   2.2218080e-15
       3547.9240   2.1359623e-15
       3548.1723   2.1666651e-15
       3548.4205   2.2408940e-15
       3548.6688   2.1796346e-15
       3548.9170   2.1033815e-15
       3549.1653   2.1463568e-15
       3549.4136   2.1030239e-15
       3549.6618   2.0870897e-15
       3549.9101   2.0843857e-15
       3550.1584   2.1865288e-15
       3550.4066   2.2559637e-15
       3550.6549   2.1745064e-15
       3550.9032   2.0948844e-15
       3551.1514   2.1457605e-15
