BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1001  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
6913.32194328303  8.913239E-19
6916.87963080401  1.177261E-18
6920.437318325  9.826083E-19
6923.99500584598  1.241195E-18
6927.55269336696  1.040664E-18
6931.11038088794  1.182641E-18
6934.66806840892  1.032421E-18
6938.2257559299  1.088314E-18
6941.78344345088  1.285319E-18
6945.34113097186  1.097548E-18
6948.89881849284  1.114706E-18
6952.45650601382  9.301757E-19
6956.0141935348  8.231744E-19
6959.57188105578  1.001870E-18
6963.12956857677  1.099139E-18
6966.68725609775  1.227034E-18
6970.24494361873  1.121796E-18
6973.80263113971  1.216487E-18
6977.36031866069  1.185812E-18
6980.91800618167  1.127312E-18
6984.47569370265  1.033619E-18
6988.03338122363  1.102263E-18
6991.59106874461  9.834045E-19
6995.14875626559  1.064301E-18
6998.70644378657  9.617905E-19
7002.26413130755  9.395264E-19
7005.82181882854  9.955431E-19
7009.37950634952  1.063252E-18
7012.9371938705  9.739749E-19
7016.49488139148  1.132667E-18
7020.05256891246  1.121912E-18
7023.61025643344  1.151617E-18
7027.16794395442  1.209096E-18
7030.7256314754  1.193654E-18
7034.28331899638  1.265139E-18
7037.84100651736  1.394274E-18
7041.39869403834  1.302762E-18
7044.95638155933  1.148704E-18
7048.51406908031  1.085068E-18
7052.07175660129  9.221760E-19
7055.62944412227  1.155910E-18
7059.18713164325  1.100966E-18
7062.74481916423  9.259939E-19
7066.30250668521  8.950593E-19
7069.86019420619  9.468808E-19
7073.41788172717  9.016959E-19
7076.97556924815  9.528631E-19
7080.53325676913  9.419135E-19
7084.09094429011  1.044822E-18
7087.6486318111  1.045616E-18
7091.20631933208  1.111496E-18
7094.76400685306  1.110134E-18
7098.32169437404  1.090462E-18
7101.87938189502  1.216404E-18
7105.437069416  1.233468E-18
7108.99475693698  1.271209E-18
7112.55244445796  1.189641E-18
7116.11013197894  1.255531E-18
7119.66781949992  1.418159E-18
7123.2255070209  1.338268E-18
7126.78319454188  1.313805E-18
7130.34088206286  1.310488E-18
7133.89856958384  1.099490E-18
7137.45625710483  8.516629E-19
7141.01394462581  1.192712E-18
7144.57163214679  1.040058E-18
7148.12931966777  1.165844E-18
7151.68700718875  8.709469E-19
7155.24469470973  9.824631E-19
7158.80238223071  8.105452E-19
7162.36006975169  9.233519E-19
7165.91775727267  1.209707E-18
7169.47544479365  1.150965E-18
7173.03313231463  1.145739E-18
7176.59081983561  1.318550E-18
7180.1485073566  9.226808E-19
7183.70619487758  1.097009E-18
7187.26388239856  1.134532E-18
7190.82156991954  1.158011E-18
7194.37925744052  1.234552E-18
7197.9369449615  1.071985E-18
7201.49463248248  1.213222E-18
7205.05232000346  1.057519E-18
7208.61000752444  1.164279E-18
7212.16769504542  9.735646E-19
7215.72538256641  1.236888E-18
7219.28307008738  1.163826E-18
7222.84075760836  1.252897E-18
7226.39844512935  1.379994E-18
7229.95613265033  1.176359E-18
7233.51382017131  1.106256E-18
7237.07150769229  1.339880E-18
7240.62919521327  1.383419E-18
7244.18688273425  7.151211E-19
7247.74457025523  1.275477E-18
7251.30225777621  1.105318E-18
7254.85994529719  1.196531E-18
7258.41763281817  1.064654E-18
7261.97532033915  1.466658E-18
7265.53300786013  1.399994E-18
7269.09069538112  9.952076E-19
7272.6483829021  1.378669E-18
7276.20607042308  1.140627E-18
