     0.802617 -2.26637e-17  9.52486e-17
     0.953209  6.47938e-15  6.88607e-17
     0.953558  6.42308e-15  6.75155e-17
     0.953907  6.49326e-15  6.83643e-17
     0.954256  6.28345e-15  6.65483e-17
     0.954606  6.26388e-15  6.64996e-17
     0.954956  6.30850e-15  6.72826e-17
     0.955306  6.24851e-15  6.70376e-17
     0.955657  6.16970e-15  6.59473e-17
     0.956009  6.12640e-15  6.65416e-17
     0.956361  6.25298e-15  6.53657e-17
     0.956713  6.41397e-15  6.56682e-17
     0.957066  6.49824e-15  6.58721e-17
     0.957419  6.69943e-15  6.62285e-17
     0.957773  6.88486e-15  6.66531e-17
     0.958127  6.82186e-15  6.64409e-17
     0.958482  7.23882e-15  6.77042e-17
     0.958837  7.19860e-15  6.72902e-17
     0.959193  7.07562e-15  6.50138e-17
     0.959549  7.13121e-15  6.47978e-17
     0.959906  7.19784e-15  6.48211e-17
     0.960263  7.38287e-15  6.55244e-17
     0.960620  7.38472e-15  6.55278e-17
     0.960978  7.36260e-15  6.53057e-17
     0.961336  7.32935e-15  6.50848e-17
     0.961695  7.13417e-15  6.22689e-17
     0.962055  6.99975e-15  6.14800e-17
     0.962415  6.95628e-15  6.09773e-17
     0.962775  6.91405e-15  6.05869e-17
     0.963136  6.82503e-15  5.98726e-17
     0.963497  6.73815e-15  5.92992e-17
     0.963859  6.56550e-15  5.81709e-17
     0.964221  6.72770e-15  5.86619e-17
     0.964584  6.68737e-15  5.84087e-17
     0.964947  6.42439e-15  5.74386e-17
     0.965310  6.55334e-15  5.78782e-17
     0.965675  6.47403e-15  5.74366e-17
     0.966039  6.47748e-15  5.76315e-17
     0.966404  6.35252e-15  5.46858e-17
     0.966770  6.40407e-15  5.42214e-17
     0.967136  6.39981e-15  5.39158e-17
     0.967503  6.33131e-15  5.35116e-17
     0.967870  6.34368e-15  5.35227e-17
     0.968237  6.35721e-15  5.36528e-17
     0.968605  6.47204e-15  5.39309e-17
     0.968974  6.39783e-15  5.34363e-17
     0.969343  6.39406e-15  5.34155e-17
     0.969713  6.34956e-15  7.98175e-17
     0.970083  6.71105e-15  8.34823e-17
     0.970453  6.70830e-15  8.31504e-17
     0.970824  6.41577e-15  8.02299e-17
     0.971196  6.34648e-15  8.00781e-17
     0.971568  6.47322e-15  8.11309e-17
     0.971941  6.48733e-15  8.08054e-17
     0.972314  6.49461e-15  5.41262e-17
     0.972687  6.53159e-15  5.39786e-17
     0.973061  6.47777e-15  5.36278e-17
     0.973436  6.40508e-15  5.32725e-17
     0.973811  6.46989e-15  5.30828e-17
     0.974187  6.46413e-15  5.28040e-17
     0.974563  6.32189e-15  5.19257e-17
     0.974939  6.28342e-15  5.14599e-17
     0.975317  6.28281e-15  5.10043e-17
     0.975694  6.18341e-15  5.03292e-17
     0.976073  6.08290e-15  4.98044e-17
