	Wave (A)	FluxDens(1d-15)   Err
       6051.5100       9.6155681     0.086906040
       6052.0000       9.5591459     0.086623041
       6052.4900       9.5868957     0.086745131
       6052.9800       9.4908279     0.086344002
       6053.4700       9.5480891     0.086609854
       6053.9600       9.6003639     0.086847745
       6054.4500       9.5755905     0.086711706
       6054.9400       9.6107579     0.086866701
       6055.4300       9.5844960     0.086715764
       6055.9200       9.5729293     0.086667402
       6056.4100       9.6411861     0.086958827
       6056.9000       9.6276761     0.086895518
       6057.3900       9.5632185     0.086592489
       6057.8800       9.5459509     0.086539043
       6058.3700       9.5739891     0.086596031
       6058.8600       9.5643527     0.086522933
       6059.3500       9.6805424     0.087092709
       6059.8400       9.6467454     0.086963152
       6060.3300       9.4730651     0.086186839
       6060.8200       9.4596537     0.086116071
       6061.3100       9.4911355     0.086348479
       6061.8000       9.5363965     0.086578855
       6062.2900       9.6022238     0.086891799
       6062.7800       9.5641214     0.086613809
       6063.2700       9.6373217     0.086948965
       6063.7600       9.6206037     0.086792383
       6064.2500       9.6476061     0.086909808
       6064.7400       9.6823249     0.087048349
       6065.2300       9.6334266     0.086814927
       6065.7200       9.5287725     0.086440323
       6066.2100       9.5640525     0.086570259
       6066.7000       9.5700536     0.086635528
       6067.1900       9.5538386     0.086557334
       6067.6800       9.4855221     0.086218893
       6068.1700       9.6485991     0.086828338
       6068.6600       9.5466260     0.086357421
       6069.1500       9.4730177     0.086141337
       6069.6400       9.6061359     0.086754107
       6070.1300       9.5383182     0.086441707
       6070.6200       9.5787900     0.086626618
       6071.1100       9.6167018     0.086720201
       6071.6000       9.5797612     0.086568405
       6072.0900       9.5487294     0.086463184
       6072.5800       9.6870271     0.087035578
       6073.0700       9.5826424     0.086562280
       6073.5600       9.4106715     0.085888518
       6074.0500       9.4365452     0.085965914
       6074.5400       9.5903567     0.086610405
       6075.0300       9.5968092     0.086674993
       6075.5200       9.4239592     0.085922145
       6076.0100       9.4374567     0.085925083
       6076.5000       9.4416440     0.085946814
       6076.9900       9.3935273     0.085785965
       6077.4800       9.4549171     0.086012292
       6077.9700       9.5417375     0.086333739
       6078.4600       9.4511956     0.086023963
       6078.9500       9.4501958     0.085973977
       6079.4400       9.4030132     0.085745408
       6079.9300       9.3529956     0.085599677
       6080.4200       9.4672654     0.086045006
       6080.9100       9.4583279     0.085975836
       6081.4000       9.4651814     0.085971748
       6081.8900       9.5757851     0.086474764
       6082.3800       9.5755577     0.086548068
       6082.8700       9.4703747     0.086063796
       6083.3600       9.4329248     0.085895371
       6083.8500       9.4042842     0.085763034
       6084.3400       9.5048466     0.086129677
       6084.8300       9.5016750     0.086137874
       6085.3200       9.3465075     0.085546884
       6085.8100       9.3567035     0.085602701
       6086.3000       9.2663700     0.085197194
       6086.7900       9.3176738     0.085363964
       6087.2800       9.5231781     0.086191022
       6087.7700       9.4583069     0.085890410
       6088.2600       9.4289841     0.085799068
       6088.7500       9.3789758     0.085654908
       6089.2400       9.2802606     0.085226578
       6089.7300       9.3866900     0.085694121
       6090.2200       9.3954470     0.085676357
       6090.7100       9.3842704     0.085600786
       6091.2000       9.4184605     0.085723320
       6091.6900       9.3667044     0.085443696
       6092.1800       9.3564727     0.085517169
       6092.6700       9.4483619     0.085943875
       6093.1600       9.4263988     0.085883898
       6093.6500       9.4668116     0.086086847
       6094.1400       9.3105807     0.085392171
       6094.6300       9.2247120     0.084999501
       6095.1200       9.2607375     0.085132765
       6095.6100       9.3768454     0.085656870
       6096.1000       9.4106887     0.085742199
       6096.5900       9.3626775     0.085508198
       6097.0800       9.2916053     0.085270673
       6097.5700       9.2949444     0.085319620
       6098.0600       9.4225472     0.085857551
       6098.5500       9.4620665     0.086003964
       6099.0400       9.4615076     0.085968319
       6099.5300       9.4075525     0.085745432
       6100.0200       9.2434373     0.085042016
       6100.5100       9.3091295     0.085356636
       6101.0000       9.4860804     0.086105827
       6101.4900       9.3528127     0.085517584
       6101.9800       9.2627777     0.085137610
       6102.4700       9.3148097     0.085395648
       6102.9600       9.3348337     0.085461435
       6103.4500       9.3479519     0.085585461
       6103.9400       9.2517091     0.085150490
       6104.4300       9.2826088     0.085286317
       6104.9200       9.2770561     0.085159206
       6105.4100       9.2662859     0.085177023
       6105.9000       9.2422741     0.085107866
       6106.3900       9.2210286     0.085036401
       6106.8800       9.2340273     0.085036354
       6107.3700       9.1991405     0.084873260
       6107.8600       9.2342060     0.085056287
       6108.3500       9.3096099     0.085416174
       6108.8400       9.2318297     0.085088689
       6109.3300       9.2766946     0.085277180
       6109.8200       9.2459224     0.085141136
       6110.3100       9.1796611     0.084844026
       6110.8000       9.1969591     0.084974611
       6111.2900       9.2394675     0.085182766
       6111.7800       9.1472332     0.084791043
       6112.2700       9.0843245     0.084597981
       6112.7600       9.2485607     0.085355410
       6113.2500       9.3276032     0.085671004
       6113.7400       9.1392654     0.084725944
       6114.2300       9.0984376     0.084514228
       6114.7200       9.1920299     0.084923700
       6115.2100       9.2306446     0.085031504
       6115.7000       9.2171828     0.084984784
       6116.1900       9.2121697     0.084839819
       6116.6800       9.3014563     0.085222083
       6117.1700       9.2822628     0.085170532
       6117.6600       9.1719569     0.084668458
       6118.1500       9.1362774     0.084479285
       6118.6400       9.1441150     0.084490843
       6119.1300       9.1381314     0.084448196
       6119.6200       9.1048162     0.084247014
       6120.1100       9.1648405     0.084414573
       6120.6000       9.1674152     0.084436443
       6121.0900       9.2538102     0.084861384
       6121.5800       9.1819671     0.084505209
       6122.0700       9.0918084     0.084138336
       6122.5600       9.1488745     0.084388763
       6123.0500       9.1393930     0.084295675
       6123.5400       9.1412858     0.084263811
       6124.0300       9.1162949     0.084180564
       6124.5200       9.0853673     0.084051453
       6125.0100       9.2182459     0.084618145
       6125.5000       9.2450613     0.084703473
       6125.9900       9.1377627     0.084251280
       6126.4800       9.0440754     0.083812706
       6126.9700       9.1138088     0.084077383
       6127.4600       9.3158001     0.084990847
       6127.9500       9.2632098     0.084741210
       6128.4400       9.1092885     0.084090067
       6128.9300       9.1055106     0.084066449
       6129.4200       9.0999908     0.083998790
       6129.9100       9.0852354     0.083949212
       6130.4000       9.1433448     0.084171415
       6130.8900       9.1321322     0.084091642
       6131.3800       9.0635570     0.083823799
       6131.8700       9.0939394     0.083962251
       6132.3600       9.1387987     0.084133916
       6132.8500       9.1527512     0.084169307
       6133.3400       9.1512756     0.084192659
       6133.8300       9.0924917     0.083967210
       6134.3200       9.1310765     0.084131950
       6134.8100       9.1443343     0.084141731
       6135.3000       9.0296673     0.083661368
       6135.7900       9.0672908     0.083877808
       6136.2800       9.1297231     0.084147348
       6136.7700       9.0655904     0.083866476
       6137.2600       9.0719934     0.083843480
       6137.7500       9.0803652     0.083819479
       6138.2400       9.0732717     0.083878238
       6138.7300       9.0937106     0.084082575
       6139.2200       8.9818790     0.083589935
       6139.7100       8.9206845     0.083256378
       6140.2000       9.0393656     0.083715510
       6140.6900       9.1035160     0.083910662
       6141.1800       9.1449033     0.084045339
       6141.6700       9.1524283     0.084040135
       6142.1600       9.0496897     0.083625882
       6142.6500       8.9835677     0.083466731
       6143.1400       9.0325671     0.083760905
       6143.6300       9.1190295     0.084180789
       6144.1200       9.1059818     0.084117054
       6144.6100       9.0397028     0.083754989
       6145.1000       9.0656578     0.083777821
       6145.5900       9.0162286     0.083505618
       6146.0800       9.0204060     0.083528232
       6146.5700       9.0870562     0.083789583
       6147.0600       9.1226086     0.083903630
       6147.5500       9.1265607     0.083926677
       6148.0400       9.0573076     0.083573554
       6148.5300       9.0041258     0.083322817
       6149.0200       8.8878355     0.082871137
       6149.5100       8.9272098     0.083068379
       6150.0000       8.9973027     0.083413929
       6150.4900       8.9359649     0.083171160
       6150.9800       8.9651356     0.083295851
       6151.4700       9.0674166     0.083688833
       6151.9600       8.9953546     0.083340496
       6152.4500       8.9194322     0.083089469
       6152.9400       8.9719949     0.083342955
       6153.4300       8.9668420     0.083349049
       6153.9200       8.9739958     0.083528053
       6154.4100       8.9777594     0.083600824
       6154.9000       8.9344625     0.083317007
       6155.3900       8.9274702     0.083124827
       6155.8800       8.9321985     0.083083832
       6156.3700       8.9552703     0.083216320
       6156.8600       8.9561556     0.083170831
       6157.3500       8.9511258     0.083124659
       6157.8400       8.9797767     0.083256664
       6158.3300       8.9204393     0.082985996
       6158.8200       8.9008984     0.082972158
       6159.3100       8.9140207     0.083110043
       6159.8000       8.8375666     0.082909634
       6160.2900       8.8895892     0.083307248
       6160.7800       8.9465514     0.083633599
       6161.2700       8.9348199     0.083510605
       6161.7600       8.9924045     0.083576642
       6162.2500       8.9960766     0.083477884
       6162.7400       8.9579015     0.083248001
       6163.2300       8.8639942     0.082807875
       6163.7200       8.8498274     0.082652879
       6164.2100       8.9606886     0.083125766
       6164.7000       8.9065964     0.082920047
       6165.1900       8.8398272     0.082558323
       6165.6800       8.8993395     0.082858589
       6166.1700       8.7990469     0.082464766
       6166.6600       8.8066443     0.082420360
       6167.1500       8.8816230     0.082700990
       6167.6400       8.8866935     0.082698522
       6168.1300       8.7911414     0.082277262
       6168.6200       8.8757446     0.082712701
       6169.1100       8.9797025     0.083246103
       6169.6000       8.9686982     0.083382762
       6170.0900       8.8355210     0.082979038
       6170.5800       8.8154601     0.082829532
       6171.0700       8.8985467     0.082980589
       6171.5600       8.8936793     0.082796200
       6172.0500       8.9014204     0.082799775
       6172.5400       8.8996930     0.082767241
       6173.0300       8.9492754     0.083001909
       6173.5200       9.0141449     0.083265401
       6174.0100       8.9462045     0.082913777
       6174.5000       8.8993273     0.082753253
       6174.9900       8.8954628     0.082823207
       6175.4800       8.8697675     0.082817042
       6175.9700       8.8311048     0.082671014
       6176.4600       8.8726660     0.082741324
       6176.9500       8.8282682     0.082464885
       6177.4400       8.9053018     0.082779022
       6177.9300       9.0303523     0.083291314
       6178.4200       8.9583771     0.083009272
       6178.9100       8.9047949     0.082730619
       6179.4000       8.9066523     0.082812560
       6179.8900       8.8994926     0.082707022
       6180.3800       8.7709013     0.082173924
       6180.8700       8.8847647     0.082708971
       6181.3600       8.9897853     0.083147697
       6181.8500       8.9230678     0.082835421
       6182.3400       8.8836383     0.082695377
       6182.8300       8.9672589     0.083076222
       6183.3200       8.8985510     0.082855904
       6183.8100       8.7860294     0.082326202
       6184.3000       8.8408136     0.082583611
       6184.7900       8.7801610     0.082239424
       6185.2800       8.7880131     0.082303932
       6185.7700       8.8484838     0.082541761
       6186.2600       8.8990026     0.082751154
       6186.7500       8.8767263     0.082673746
       6187.2400       8.7510784     0.082155955
       6187.7300       8.8085171     0.082393344
       6188.2200       8.8131800     0.082423712
       6188.7100       8.7530566     0.082235961
       6189.2000       8.7599328     0.082197827
       6189.6900       8.7722161     0.082212837
       6190.1800       8.7349241     0.082002375
       6190.6700       8.7349381     0.082081430
       6191.1600       8.8216019     0.082521444
       6191.6500       8.8915743     0.082786297
       6192.1400       8.8886171     0.082876781
       6192.6300       8.7472575     0.082250205
       6193.1200       8.8060395     0.082442987
       6193.6100       8.9001591     0.082864962
       6194.1000       8.8547938     0.082578629
       6194.5900       8.7820152     0.082211024
       6195.0800       8.7371779     0.082066729
       6195.5700       8.6462315     0.081607514
       6196.0600       8.8316610     0.082494372
       6196.5500       8.8426800     0.082536638
       6197.0400       8.8669341     0.082622234
       6197.5300       8.8920026     0.082767926
       6198.0200       8.8795202     0.082708373
       6198.5100       8.7506906     0.082080967
       6199.0000       8.7034586     0.081904128
       6199.4900       8.6530165     0.081767044
       6199.9800       8.7008698     0.081964183
       6200.4700       8.8113588     0.082363761
