	Wave (A)	FluxDens(1d-15)   Err
       3981.3200       22.016740      0.14239884
       3981.8100       21.962023      0.14221844
       3982.3000       22.111791      0.14265263
       3982.7900       22.144127      0.14267416
       3983.2800       22.090594      0.14239023
       3983.7700       22.149106      0.14248911
       3984.2600       22.267688      0.14276684
       3984.7500       22.263445      0.14262990
       3985.2400       22.287942      0.14265798
       3985.7300       22.610996      0.14362889
       3986.2200       22.834053      0.14428822
       3986.7100       22.991803      0.14472998
       3987.2000       23.197661      0.14535885
       3987.6900       23.411395      0.14595259
       3988.1800       23.517182      0.14622374
       3988.6700       23.300016      0.14550882
       3989.1600       23.233491      0.14520309
       3989.6500       23.281616      0.14523831
       3990.1400       23.122644      0.14464691
       3990.6300       23.206099      0.14486778
       3991.1200       23.887779      0.14690173
       3991.6100       25.727377      0.15232358
       3992.1000       27.904852      0.15853294
       3992.5900       29.563279      0.16307772
       3993.0800       30.184111      0.16474048
       3993.5700       29.004488      0.16138375
       3994.0600       27.081621      0.15593504
       3994.5500       25.334874      0.15089177
       3995.0400       24.004216      0.14683967
       3995.5300       23.211857      0.14436198
       3996.0200       22.800814      0.14307197
       3996.5100       22.705561      0.14268679
       3997.0000       22.710954      0.14260020
       3997.4900       22.572558      0.14212811
       3997.9800       22.522608      0.14196007
       3998.4700       22.504514      0.14186614
       3998.9600       22.438182      0.14162972
       3999.4500       22.567018      0.14189007
       3999.9400       22.457421      0.14147035
       4000.4300       22.054347      0.14016055
       4000.9200       21.947114      0.13983877
       4001.4100       22.179871      0.14052276
       4001.9000       22.264016      0.14068571
       4002.3900       22.278645      0.14070961
       4002.8800       22.139564      0.14020631
       4003.3700       22.167668      0.14017979
       4003.8600       22.142303      0.14005326
       4004.3500       21.985626      0.13954419
       4004.8400       21.989436      0.13950634
       4005.3300       21.991473      0.13945456
       4005.8200       21.903582      0.13910656
       4006.3100       21.766181      0.13864696
       4006.8000       21.844803      0.13890004
       4007.2900       21.874326      0.13896925
       4007.7800       21.681080      0.13832532
       4008.2700       21.692010      0.13830708
       4008.7600       21.831320      0.13872027
       4009.2500       21.740962      0.13840884
       4009.7400       21.696269      0.13815415
       4010.2300       21.665750      0.13795202
       4010.7200       21.617761      0.13777825
       4011.2100       21.607929      0.13774191
       4011.7000       21.665406      0.13789455
       4012.1900       21.670560      0.13786315
       4012.6800       21.637228      0.13764652
       4013.1700       21.662767      0.13763492
       4013.6600       21.655009      0.13756996
       4014.1500       21.647072      0.13751984
       4014.6400       21.603281      0.13729418
       4015.1300       21.714212      0.13755931
       4015.6200       21.779284      0.13772553
       4016.1100       21.668165      0.13732603
       4016.6000       21.650141      0.13722392
       4017.0900       21.643339      0.13714438
       4017.5800       21.595559      0.13695907
       4018.0700       21.612410      0.13699141
       4018.5600       21.532527      0.13673267
       4019.0500       21.420132      0.13640945
       4019.5400       21.491158      0.13664437
       4020.0300       21.505775      0.13662871
       4020.5200       21.422042      0.13620325
       4021.0100       21.488336      0.13627054
       4021.5000       21.551394      0.13640083
       4021.9900       21.521946      0.13623338
       4022.4800       21.600607      0.13640289
       4022.9700       21.538985      0.13621554
       4023.4600       21.452729      0.13598622
       4023.9500       21.521775      0.13615500
       4024.4400       21.426999      0.13574786
       4024.9300       21.359362      0.13541427
       4025.4200       21.525787      0.13586341
       4025.9100       21.749892      0.13654100
       4026.4000       21.688563      0.13631486
       4026.8900       21.533934      0.13573635
       4027.3800       21.646651      0.13591042
       4027.8700       21.621261      0.13573657
       4028.3600       21.501960      0.13537631
       4028.8500       21.438649      0.13515741
       4029.3400       21.390871      0.13491745
       4029.8300       21.321737      0.13455197
       4030.3200       21.463890      0.13495769
       4030.8100       21.558024      0.13527148
       4031.3000       21.466988      0.13494905
       4031.7900       21.575602      0.13524103
       4032.2800       21.570331      0.13512505
       4032.7700       21.320891      0.13427371
       4033.2600       21.353304      0.13428179
       4033.7500       21.376410      0.13427878
       4034.2400       21.295072      0.13401874
       4034.7300       21.290613      0.13396573
       4035.2200       21.325925      0.13408325
       4035.7100       21.333040      0.13406927
       4036.2000       21.186614      0.13355065
       4036.6900       21.163717      0.13343101
       4037.1800       21.107334      0.13320352
       4037.6700       21.228440      0.13351647
       4038.1600       21.441499      0.13414324
       4038.6500       21.388428      0.13391731
       4039.1400       21.360051      0.13373809
       4039.6300       21.079303      0.13282934
       4040.1200       21.100063      0.13290169
       4040.6100       21.209159      0.13319571
       4041.1000       21.245510      0.13329844
       4041.5900       21.278325      0.13336564
       4042.0800       21.396984      0.13366085
       4042.5700       21.372819      0.13355293
       4043.0600       21.365275      0.13351649
       4043.5500       21.575518      0.13414699
       4044.0400       21.536616      0.13395754
       4044.5300       21.464592      0.13377783
       4045.0200       21.661029      0.13479532
       4045.5100       21.525471      0.13529277
       4046.0000       21.562606      0.13598818
       4046.4900       21.665263      0.13587219
       4046.9800       21.781675      0.13534130
       4047.4700       21.821373      0.13487330
       4047.9600       22.364098      0.13623109
       4048.4500       22.748980      0.13725229
       4048.9400       23.054744      0.13807440
       4049.4300       23.319417      0.13877686
       4049.9200       22.964460      0.13773813
       4050.4100       22.601953      0.13660870
       4050.9000       21.975459      0.13461736
       4051.3900       21.614578      0.13341918
       4051.8800       21.628931      0.13340787
       4052.3700       21.437280      0.13273758
       4052.8600       21.192078      0.13202529
       4053.3500       21.365592      0.13261015
       4053.8400       21.521507      0.13305500
       4054.3300       21.451465      0.13274739
       4054.8200       21.349219      0.13236136
       4055.3100       21.494841      0.13271739
       4055.8000       21.420745      0.13243530
       4056.2900       21.484673      0.13262044
       4056.7800       21.509085      0.13257314
       4057.2700       21.353616      0.13211149
       4057.7600       21.102181      0.13130183
       4058.2500       21.237994      0.13168744
       4058.7400       21.388775      0.13214344
       4059.2300       21.404078      0.13211481
       4059.7200       21.305496      0.13180619
       4060.2100       21.346492      0.13189132
       4060.7000       21.402861      0.13200509
       4061.1900       21.360232      0.13184319
       4061.6800       21.308266      0.13162011
       4062.1700       21.394180      0.13191300
       4062.6600       21.261808      0.13153435
       4063.1500       21.138858      0.13112397
       4063.6400       21.107724      0.13097577
       4064.1300       21.224684      0.13136106
       4064.6200       21.119291      0.13094306
       4065.1100       21.048837      0.13062074
       4065.6000       21.264098      0.13116781
       4066.0900       21.411491      0.13154888
       4066.5800       21.245982      0.13100194
       4067.0700       20.987800      0.13021137
       4067.5600       21.003357      0.13024387
       4068.0500       21.175637      0.13072293
       4068.5400       21.095404      0.13041624
       4069.0300       20.844477      0.12962710
       4069.5200       20.958716      0.12990400
       4070.0100       21.219596      0.13066434
       4070.5000       21.097644      0.13028333
       4070.9900       20.988522      0.12989923
       4071.4800       21.043887      0.13002019
       4071.9700       21.171146      0.13024916
       4072.4600       21.170789      0.13014063
       4072.9500       21.036297      0.12971502
       4073.4400       21.021972      0.12962392
       4073.9300       20.952712      0.12940238
       4074.4200       20.768870      0.12887405
       4074.9100       20.779180      0.12893956
       4075.4000       20.993768      0.12958544
       4075.8900       21.118396      0.12994249
       4076.3800       21.047656      0.12970551
       4076.8700       21.044387      0.12969187
